(Outputs for testing ranqd1 and rand_nsmb have been manually combined into a single table by myself.)

#========================================================================================#
#                 dieharder version 3.31.1 Copyright 2003 Robert G. Brown                #
#========================================================================================#
                    |    |          |        |  ranqd1  |  ranqd1  | rand_nsmb| rand_nsmb
        test_name   |ntup| tsamples |psamples|  p-value |Assessment|  p-value |Assessment
#========================================================================================#
      rgb_lagged_sum|  15|   1000000|     100|0.70704065|  PASSED  |0.00000000|  FAILED
      rgb_lagged_sum|  16|   1000000|     100|0.42315687|  PASSED  |0.00000000|  FAILED
      rgb_lagged_sum|  17|   1000000|     100|0.88407748|  PASSED  |0.00000000|  FAILED
      rgb_lagged_sum|  18|   1000000|     100|0.07500853|  PASSED  |0.00000000|  FAILED
      rgb_lagged_sum|  19|   1000000|     100|0.64827946|  PASSED  |0.00000000|  FAILED
      rgb_lagged_sum|  20|   1000000|     100|0.95941058|  PASSED  |0.00000000|  FAILED
      rgb_lagged_sum|  21|   1000000|     100|0.62891344|  PASSED  |0.00000000|  FAILED
      rgb_lagged_sum|  22|   1000000|     100|0.15322028|  PASSED  |0.00000000|  FAILED
      rgb_lagged_sum|  23|   1000000|     100|0.62607142|  PASSED  |0.00000000|  FAILED
      rgb_lagged_sum|  24|   1000000|     100|0.61602353|  PASSED  |0.00000000|  FAILED
      rgb_lagged_sum|  25|   1000000|     100|0.79018350|  PASSED  |0.00000000|  FAILED
      rgb_lagged_sum|  26|   1000000|     100|0.29792213|  PASSED  |0.00000000|  FAILED
      rgb_lagged_sum|  27|   1000000|     100|0.46376144|  PASSED  |0.00000001|  FAILED
      rgb_lagged_sum|  28|   1000000|     100|0.49539234|  PASSED  |0.00000000|  FAILED
      rgb_lagged_sum|  29|   1000000|     100|0.14260990|  PASSED  |0.00000000|  FAILED
      rgb_lagged_sum|  30|   1000000|     100|0.01580553|  PASSED  |0.00000000|  FAILED
      rgb_lagged_sum|  31|   1000000|     100|0.83052999|  PASSED  |0.00000000|  FAILED
      rgb_lagged_sum|  32|   1000000|     100|0.73010737|  PASSED  |0.00000000|  FAILED
     rgb_kstest_test|   0|     10000|    1000|0.09443263|  PASSED  |0.51754640|  PASSED
     dab_bytedistrib|   0|  51200000|       1|1.00000000|  FAILED  |0.00000000|  FAILED
             dab_dct| 256|     50000|       1|0.00000000|  FAILED  |0.02974302|  PASSED
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.42639747|  PASSED  |0.00000000|  FAILED
        dab_filltree|  32|  15000000|       1|0.57917210|  PASSED  |0.00000000|  FAILED
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.00000000|  FAILED  |0.00000000|  FAILED
       dab_filltree2|   1|   5000000|       1|0.00000000|  FAILED  |0.00000000|  FAILED
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|1.00000000|  FAILED  |1.00000000|  FAILED
